# Omega_m sigma_8 chi2 weight
2.000000000000000111e-01 8.199999999999999512e-01 9.021630564693784438e-01 1.000000000000000000e+00
1.989273474207118308e-01 8.161863673292254484e-01 1.090338811879316916e+00 2.000000000000000000e+00
2.001803006984362032e-01 8.260828127916868269e-01 7.567989926551259572e-01 1.000000000000000000e+00
1.942983373737840747e-01 8.292746836119512244e-01 1.451497186126367023e+00 3.000000000000000000e+00
1.934866159486064441e-01 8.259940559434698626e-01 1.446862538356597838e+00 1.000000000000000000e+00
1.952857882997519334e-01 8.351977950048453669e-01 1.639745701839011360e+00 2.000000000000000000e+00
1.967631751989182554e-01 8.375768856340629620e-01 1.544733292537929792e+00 1.000000000000000000e+00
2.034272055604719187e-01 8.399241988905084000e-01 8.076567311658434667e-01 1.000000000000000000e+00
2.113765256094468359e-01 8.420135506283760174e-01 5.960209932696284296e-01 1.000000000000000000e+00
2.035620173742318795e-01 8.433071054309063674e-01 9.856799715677307949e-01 1.000000000000000000e+00
2.037254891591392114e-01 8.392086993756663338e-01 7.515961861393449794e-01 2.000000000000000000e+00
2.027207575338867418e-01 8.409732361916538723e-01 9.296803788344250030e-01 3.000000000000000000e+00
2.071594370393170237e-01 8.316633359860498009e-01 5.654541125526267864e-01 2.000000000000000000e+00
2.047179773063966812e-01 8.349942683369967478e-01 5.808173180701114990e-01 1.000000000000000000e+00
2.025656731077542239e-01 8.322170586238299972e-01 6.435022447714356941e-01 1.000000000000000000e+00
2.134285523938401208e-01 8.244988393767253010e-01 1.385976235523502353e+00 2.000000000000000000e+00
2.186041391991175031e-01 8.295424683645022945e-01 1.661522689409133946e+00 1.000000000000000000e+00
2.039618468596342549e-01 8.414741611420595291e-01 8.391849426687262303e-01 2.000000000000000000e+00
2.111768645052375382e-01 8.296632546542120901e-01 8.134517146830544387e-01 1.000000000000000000e+00
2.013003719982021378e-01 8.476472469739255722e-01 1.665138732103689456e+00 1.000000000000000000e+00
2.079472854598570231e-01 8.482419854482625698e-01 9.320001327208388142e-01 2.000000000000000000e+00
2.064524265959906679e-01 8.611349106259500452e-01 2.488771783982484997e+00 2.000000000000000000e+00
2.153458661639504890e-01 8.528292568327433543e-01 9.781106672241643984e-01 1.000000000000000000e+00
2.168651111206625071e-01 8.432607706148131932e-01 8.335092941187893789e-01 4.000000000000000000e+00
2.210449938699734773e-01 8.221657105787453235e-01 2.874122880122598644e+00 1.000000000000000000e+00
2.206230166521750691e-01 8.191963266844711766e-01 3.189176030929328665e+00 1.000000000000000000e+00
2.198415321881362072e-01 8.110886833232245907e-01 4.301354957666088552e+00 1.000000000000000000e+00
2.166722869602319135e-01 8.101813855649587781e-01 3.752633006925828685e+00 1.000000000000000000e+00
2.174657304059086360e-01 8.178872954494860181e-01 2.749076595559387215e+00 1.000000000000000000e+00
2.204866242429912027e-01 8.137161056206803078e-01 4.000203816262140499e+00 1.000000000000000000e+00
2.160302552944847465e-01 8.166547672294391935e-01 2.648298729011438812e+00 1.000000000000000000e+00
2.129699383506623578e-01 8.267074078323545239e-01 1.157598646280700194e+00 2.000000000000000000e+00
2.073678469353374965e-01 8.342939763051746560e-01 5.334081549294987790e-01 1.000000000000000000e+00
2.174399986664727613e-01 8.396932177775264794e-01 9.456915635062451697e-01 2.000000000000000000e+00
2.281516312076350694e-01 8.339027186252385704e-01 2.973929419368402272e+00 1.000000000000000000e+00
2.256524673455285734e-01 8.381193553191315093e-01 2.137385511406827643e+00 1.000000000000000000e+00
2.199212472456022471e-01 8.499989504295489828e-01 1.068875037804176920e+00 2.000000000000000000e+00
2.218470979405297583e-01 8.546455718393161094e-01 1.302189251465381670e+00 1.000000000000000000e+00
2.284458361150486505e-01 8.522171421193812657e-01 2.000105713393214302e+00 1.000000000000000000e+00
2.297171492465991671e-01 8.444118757174512435e-01 2.467472964432158911e+00 1.000000000000000000e+00
2.342508147794801765e-01 8.333921976660195741e-01 4.427129088939488533e+00 2.000000000000000000e+00
2.268497964801453326e-01 8.415523631312147312e-01 2.122909683866008645e+00 2.000000000000000000e+00
2.262355794808403042e-01 8.324124632350410335e-01 2.732041983530583362e+00 3.000000000000000000e+00
2.211349208187055881e-01 8.434228004938815193e-01 1.227181854540412509e+00 1.000000000000000000e+00
2.243463186944728849e-01 8.437058524502568657e-01 1.628308422599390681e+00 1.000000000000000000e+00
2.157211018347358900e-01 8.416136278137114068e-01 7.702727962249832361e-01 6.000000000000000000e+00
2.210892376630337053e-01 8.373232620727324438e-01 1.472446398041154625e+00 1.000000000000000000e+00
2.351039120498496227e-01 8.218691277209241308e-01 6.370164884131888527e+00 3.000000000000000000e+00
2.257182267145468046e-01 8.156816621402318557e-01 4.914972724709630647e+00 1.000000000000000000e+00
2.205314376938813381e-01 8.101462344076439948e-01 4.625715333968476450e+00 1.000000000000000000e+00
2.163039484672057144e-01 8.119849028205158303e-01 3.383854523272306736e+00 1.000000000000000000e+00
2.010467771926254255e-01 8.199285605388105802e-01 9.005677421422058071e-01 1.000000000000000000e+00
1.946906193739446622e-01 8.142647345715330331e-01 1.321680724092782144e+00 2.000000000000000000e+00
2.065881437771430462e-01 8.109315327710500121e-01 1.982900176618146437e+00 1.000000000000000000e+00
2.068024919279820018e-01 8.074007097837180291e-01 2.460979509586763925e+00 1.000000000000000000e+00
2.125751638941178190e-01 7.990971664256353302e-01 4.914313737009893934e+00 1.000000000000000000e+00
2.111157067048350655e-01 7.957119224271946845e-01 5.289405114318910250e+00 1.000000000000000000e+00
2.150802628043075593e-01 8.076516214635349744e-01 3.850244822920842580e+00 1.000000000000000000e+00
2.050654193014497806e-01 8.246455813942787927e-01 7.416760550159066101e-01 2.000000000000000000e+00
2.045388488398505178e-01 8.224484166974235233e-01 8.317294049676325907e-01 1.000000000000000000e+00
1.973185900942511228e-01 8.288112453938979440e-01 1.008855360811392599e+00 3.000000000000000000e+00
2.014480990093245050e-01 8.355863474996814144e-01 7.987300626791447034e-01 1.000000000000000000e+00
1.944081280304861548e-01 8.335733228970443331e-01 1.691774680712648138e+00 1.000000000000000000e+00
1.929605229245497655e-01 8.331681504412730144e-01 1.966028343118181310e+00 2.000000000000000000e+00
2.023349974380060368e-01 8.197694145131256827e-01 9.193866365361201831e-01 1.000000000000000000e+00
1.989546253130195508e-01 8.204924288962900381e-01 9.111492654514679046e-01 2.000000000000000000e+00
2.070169645715346507e-01 8.218246521245733405e-01 9.905068363816307286e-01 2.000000000000000000e+00
2.018974248075796063e-01 8.322744955575526182e-01 6.821941526089918550e-01 1.000000000000000000e+00
1.979544973969939448e-01 8.390600678189306105e-01 1.450340611860968965e+00 1.000000000000000000e+00
2.046711098720485345e-01 8.265132002190396232e-01 6.633894982631958204e-01 1.000000000000000000e+00
2.036252908854463417e-01 8.270107183014504537e-01 6.469777465769067648e-01 3.000000000000000000e+00
2.042160276591339363e-01 8.228518636041910472e-01 8.022138308061297352e-01 3.000000000000000000e+00
2.006309864479212945e-01 8.308898210470563317e-01 7.442558325554803345e-01 1.000000000000000000e+00
1.924844673119130989e-01 8.376022484586075345e-01 2.506798819270092515e+00 1.000000000000000000e+00
2.105671318361357902e-01 8.191250943117854844e-01 1.540693603875394224e+00 1.000000000000000000e+00
2.086455912713463257e-01 8.190537703793240309e-01 1.340078972676408187e+00 1.000000000000000000e+00
1.996688666408515112e-01 8.247538507511004147e-01 7.920654829750675141e-01 1.000000000000000000e+00
1.978005955853928688e-01 8.205757804364312014e-01 9.586265110511857923e-01 2.000000000000000000e+00
2.005480368512805034e-01 8.168787002511579409e-01 1.052872665547327946e+00 1.000000000000000000e+00
1.988385182168421750e-01 8.291029960626573603e-01 8.610315377002923931e-01 2.000000000000000000e+00
2.076964327058411497e-01 8.359217733416864915e-01 5.299152315429085380e-01 1.000000000000000000e+00
2.035247282238775990e-01 8.389786686669641336e-01 7.575325778601242899e-01 3.000000000000000000e+00
1.955575066474599111e-01 8.539564322473003344e-01 3.997199670367730384e+00 1.000000000000000000e+00
1.943071582800085517e-01 8.589375245555227467e-01 5.475048008655442722e+00 3.000000000000000000e+00
2.018772690091633626e-01 8.589477231257415246e-01 3.083593986504826745e+00 1.000000000000000000e+00
2.054956518398869114e-01 8.588617910264537691e-01 2.323986778372752582e+00 1.000000000000000000e+00
2.154925487619968050e-01 8.521695514983449460e-01 9.474714868997086148e-01 1.000000000000000000e+00
2.108114566787148703e-01 8.720475891231214138e-01 3.567218716312953397e+00 1.000000000000000000e+00
2.147238647734827643e-01 8.609114265487035622e-01 1.584004028917164630e+00 1.000000000000000000e+00
2.034914571826361984e-01 8.630843388401713279e-01 3.417501046266798514e+00 1.000000000000000000e+00
2.182006680719095204e-01 8.514229943953649515e-01 9.961860197384404536e-01 2.000000000000000000e+00
