# Omega_m sigma_8 chi2 weight
2.000000000000000111e-01 8.800000000000000044e-01 3.897851447864314650e+03 2.000000000000000000e+00
2.040981920049640130e-01 8.784344906252321561e-01 3.725650199652070114e+03 2.000000000000000000e+00
1.946932009378842254e-01 9.023498287617564007e-01 3.622150637316401571e+03 2.000000000000000000e+00
1.968353894950671257e-01 8.987781832124364101e-01 3.592667638899141821e+03 1.000000000000000000e+00
2.072649469668229605e-01 8.990505996648459064e-01 3.037601054972028578e+03 1.000000000000000000e+00
2.050691273218295807e-01 9.040757214194867775e-01 3.027787095751031302e+03 1.000000000000000000e+00
2.145965444526417576e-01 8.967396036299682960e-01 2.724015276599931440e+03 1.000000000000000000e+00
2.321268668828476156e-01 8.854058291038673367e-01 2.169425909385497562e+03 1.000000000000000000e+00
2.324761593070350796e-01 8.857064295009613453e-01 2.148005961419606592e+03 1.000000000000000000e+00
2.371119669980142897e-01 8.845763683827468915e-01 1.982687689007087783e+03 2.000000000000000000e+00
2.511047604045651971e-01 8.751117905043646061e-01 1.626596329727403827e+03 1.000000000000000000e+00
2.513218853564755939e-01 8.755951787979558976e-01 1.607837291141433752e+03 4.000000000000000000e+00
2.653751008182874682e-01 8.629811032142762350e-01 1.361567239713848039e+03 3.000000000000000000e+00
2.703198807316041230e-01 8.640794314743747151e-01 1.171740466955713828e+03 1.000000000000000000e+00
2.762327757198628220e-01 8.545655012234893988e-01 1.167793489443577300e+03 2.000000000000000000e+00
2.883293681137145681e-01 8.560408632293722286e-01 7.852793607417726207e+02 1.000000000000000000e+00
2.944692179191486514e-01 8.575129535204701892e-01 6.051602065250737041e+02 3.000000000000000000e+00
3.066614633098670439e-01 8.523264417982365782e-01 4.207783380809514711e+02 1.000000000000000000e+00
3.191730772536701677e-01 8.441438333637022451e-01 2.966147357210807627e+02 1.000000000000000000e+00
3.296070620219788694e-01 8.425054444549956445e-01 1.623387382481707277e+02 1.000000000000000000e+00
3.390001973345632136e-01 8.359952631215222807e-01 1.115250991712306359e+02 1.000000000000000000e+00
3.514968912107251930e-01 8.339563910361389443e-01 2.890980381192680682e+01 2.000000000000000000e+00
3.556360146219268437e-01 8.323994907091089024e-01 1.747959521019839002e+01 4.000000000000000000e+00
3.583008629760133790e-01 8.287423907275881518e-01 1.832059668496834703e+01 2.000000000000000000e+00
3.644344759065163974e-01 8.248825956031090589e-01 8.864718855173745027e+00 2.000000000000000000e+00
3.717036475766689607e-01 8.219583167578670135e-01 2.583446946125579124e+00 1.000000000000000000e+00
3.723575974216850604e-01 8.222596691458600171e-01 2.614211173220600593e+00 5.000000000000000000e+00
3.632048262320147214e-01 8.317615684842283308e-01 2.587240538165103132e+00 7.000000000000000000e+00
3.620796597101371694e-01 8.337958684017814370e-01 2.388633439791669755e+00 2.000000000000000000e+00
3.637729485804919727e-01 8.337728363410662480e-01 2.707155810535454066e+00 1.000000000000000000e+00
3.699620473727852077e-01 8.244834252015474929e-01 2.502360998793084601e+00 1.000000000000000000e+00
3.672746220140165052e-01 8.282497880095124332e-01 2.446924743914714817e+00 8.000000000000000000e+00
3.678832426415435952e-01 8.290151261207644451e-01 2.957176175220943115e+00 2.000000000000000000e+00
3.794208888818344505e-01 8.168129038328367786e-01 4.956739182047541270e+00 1.000000000000000000e+00
3.734490376903129571e-01 8.180986043809109765e-01 3.351807339500306071e+00 1.000000000000000000e+00
3.589086171001571457e-01 8.347047504819781194e-01 4.333066295336624130e+00 1.000000000000000000e+00
3.611152332728722603e-01 8.307388308529150001e-01 5.879771045424198483e+00 1.000000000000000000e+00
3.683485697257244951e-01 8.285128289411339830e-01 3.012400811311144455e+00 1.000000000000000000e+00
3.664308453847036073e-01 8.270115019670121193e-01 3.002793124108658063e+00 1.000000000000000000e+00
3.811191579667351226e-01 8.150426064086722100e-01 5.321271681488457084e+00 3.000000000000000000e+00
3.664283947098069816e-01 8.251534309083985441e-01 4.628539620566953339e+00 2.000000000000000000e+00
3.736266731000422170e-01 8.172295879164945820e-01 3.865119074625603446e+00 3.000000000000000000e+00
3.848607991551313279e-01 8.057579515967489003e-01 3.038187451452321053e+00 1.000000000000000000e+00
3.908184375000758881e-01 8.032727833580504129e-01 5.300992486112971136e+00 3.000000000000000000e+00
3.918462178166808307e-01 8.024964129898071175e-01 5.844549184753632609e+00 1.000000000000000000e+00
3.964482745557104115e-01 7.925897773796690693e-01 3.291165864260695351e+00 3.000000000000000000e+00
3.871403512431594307e-01 8.014702208654382876e-01 3.951360871590136714e+00 6.000000000000000000e+00
3.852188405194511001e-01 8.082879767131554427e-01 3.614061629285600485e+00 1.000000000000000000e+00
3.838933061980218109e-01 8.058731092398420115e-01 3.453965239889246419e+00 1.000000000000000000e+00
3.845183100962877298e-01 8.124184506744454026e-01 7.513357467754011587e+00 4.000000000000000000e+00
3.785311726536310095e-01 8.135097448254432484e-01 2.788882713490365539e+00 2.000000000000000000e+00
3.709739230971378365e-01 8.236165466910894128e-01 2.534970232681443836e+00 2.000000000000000000e+00
3.672114096589065291e-01 8.289644657893339152e-01 2.566161327451042862e+00 3.000000000000000000e+00
3.676626442728713196e-01 8.303485078398553654e-01 3.713812401924297291e+00 2.000000000000000000e+00
3.662682259419049458e-01 8.319185901944633477e-01 3.596146905108975389e+00 1.000000000000000000e+00
3.780048657601753903e-01 8.160091999661625017e-01 2.973072065438290057e+00 5.000000000000000000e+00
3.885111334254256477e-01 8.027710201531982337e-01 3.099399076043945378e+00 1.000000000000000000e+00
3.883663282222801771e-01 8.021917028155066687e-01 3.064884900166348736e+00 3.000000000000000000e+00
4.013723244535732371e-01 7.893253775132118566e-01 3.829366656359936449e+00 1.000000000000000000e+00
3.978641428257014834e-01 7.905588255854283375e-01 3.440878431037881491e+00 1.000000000000000000e+00
4.043922014700604972e-01 7.845020265634478074e-01 3.498827158911706814e+00 4.000000000000000000e+00
4.128819041876319318e-01 7.763853011509256330e-01 4.056539691432209160e+00 1.300000000000000000e+01
4.021217306784503620e-01 7.863062579545587738e-01 3.427558030943955725e+00 2.000000000000000000e+00
4.124437493786287101e-01 7.787236046922046961e-01 5.512942752204650354e+00 3.000000000000000000e+00
4.022719468551327338e-01 7.873490197788082234e-01 3.473629834943075867e+00 3.000000000000000000e+00
4.004670692109362773e-01 7.914108234456168622e-01 4.582167123704206979e+00 1.000000000000000000e+00
3.822488546384291697e-01 8.085663787828319959e-01 3.050401815388874560e+00 3.000000000000000000e+00
3.747452961096458535e-01 8.159402564854955076e-01 3.834387407049163254e+00 1.000000000000000000e+00
3.623955341513660500e-01 8.311977025424257537e-01 3.526338353930588365e+00 1.000000000000000000e+00
3.453433001074930342e-01 8.502914149063356408e-01 6.430187104974582901e+00 1.000000000000000000e+00
3.492949114522148069e-01 8.460496579104047621e-01 5.098629525544870589e+00 1.000000000000000000e+00
3.550457351265481343e-01 8.434837337505040056e-01 2.160096433849033826e+00 5.000000000000000000e+00
3.499828059223776822e-01 8.479641205345045396e-01 2.591975775349786293e+00 1.000000000000000000e+00
3.502207601695929151e-01 8.493558825351036345e-01 2.191026422745572244e+00 9.000000000000000000e+00
3.441510939846951223e-01 8.575375498955277731e-01 2.064897830655848310e+00 5.000000000000000000e+00
3.485850038854295674e-01 8.520471262680161528e-01 2.196169319043395518e+00 8.000000000000000000e+00
3.552893830187154323e-01 8.435865306305430078e-01 2.200206345915954653e+00 1.000000000000000000e+00
3.624433783341141635e-01 8.368189716890918062e-01 3.570146552613340685e+00 5.000000000000000000e+00
3.602179568947114219e-01 8.334590072817135153e-01 3.931397772251889133e+00 1.000000000000000000e+00
3.656197603135434293e-01 8.267485090267654435e-01 3.984242246434521295e+00 3.000000000000000000e+00
3.597125791863976518e-01 8.361546741207638300e-01 2.513671502222236676e+00 4.000000000000000000e+00
3.556858843998874087e-01 8.404994215371985877e-01 2.826483037687848920e+00 1.000000000000000000e+00
3.533443842866447748e-01 8.466301175977580806e-01 2.263535162265360778e+00 5.000000000000000000e+00
3.516048512925079583e-01 8.469651194057482568e-01 2.279827970843403495e+00 2.000000000000000000e+00
3.539048674021665897e-01 8.457453344888794522e-01 2.235789311070113250e+00 9.000000000000000000e+00
3.565577877099369020e-01 8.374186019483256249e-01 4.616504729096422288e+00 6.000000000000000000e+00
3.573627939147833721e-01 8.374258843745444603e-01 3.554928050867865341e+00 1.000000000000000000e+00
3.707866197997589652e-01 8.251750827524821919e-01 2.902398121992384894e+00 3.000000000000000000e+00
3.710328995345829051e-01 8.242162401896745427e-01 2.657309430024542340e+00 3.000000000000000000e+00
3.730762316222860364e-01 8.190060617077317140e-01 3.063960182217004391e+00 4.000000000000000000e+00
3.836375338032896876e-01 8.104060149743377295e-01 3.748221780803299819e+00 1.000000000000000000e+00
3.740731892773110911e-01 8.198720209660046443e-01 2.617845566316741035e+00 1.000000000000000000e+00
3.782926858600866860e-01 8.193082499882570202e-01 6.465555618147180716e+00 1.000000000000000000e+00
3.809823494341484373e-01 8.112919120233615944e-01 2.815068725425900809e+00 1.100000000000000000e+01
3.839840708066620256e-01 8.085249014329741746e-01 3.014605615849380360e+00 2.000000000000000000e+00
3.740750075861702939e-01 8.209545630691149620e-01 2.899159406239761871e+00 2.000000000000000000e+00
3.703265994703751063e-01 8.226003301380244714e-01 2.879442703177782725e+00 8.000000000000000000e+00
3.777685805542163044e-01 8.141252452688052532e-01 2.845678406760918211e+00 2.000000000000000000e+00
3.781178717602841077e-01 8.153453594373817337e-01 2.816704297455914219e+00 1.000000000000000000e+00
3.790813921704540568e-01 8.144366372598609294e-01 2.906060860979112981e+00 5.000000000000000000e+00
3.912482199061304566e-01 7.977376128810236278e-01 3.418892789313793479e+00 7.000000000000000000e+00
3.919014277125383861e-01 8.019006042534236878e-01 5.189477766619842392e+00 1.000000000000000000e+00
3.973006237216021308e-01 7.897269766414215519e-01 4.253635845233138646e+00 2.000000000000000000e+00
4.069490061141845527e-01 7.773900641840076897e-01 6.215424988204188317e+00 1.000000000000000000e+00
4.222199856861413303e-01 7.620796204953556030e-01 5.449454944857290428e+00 1.000000000000000000e+00
4.422698566591095060e-01 7.491622643166628848e-01 8.429608576462808145e+00 1.000000000000000000e+00
4.412274327548872943e-01 7.449467941508025604e-01 4.605344382302602568e+00 1.000000000000000000e+00
4.485990714349339936e-01 7.373669139283952623e-01 4.920245970103188426e+00 1.000000000000000000e+00
4.353438538471681163e-01 7.481718782010707836e-01 6.223657843624523345e+00 3.000000000000000000e+00
4.307039285795506989e-01 7.562424515432322192e-01 4.162573351506521746e+00 2.000000000000000000e+00
4.453821213662795819e-01 7.431405844429217478e-01 4.679600542885492764e+00 1.000000000000000000e+00
4.442326305356591454e-01 7.435799444385874368e-01 4.450168170427172498e+00 7.000000000000000000e+00
4.394953819851022403e-01 7.462944866159554325e-01 4.623562792250611508e+00 1.000000000000000000e+00
4.363455169427798985e-01 7.531736244888663778e-01 5.736215546279495037e+00 1.000000000000000000e+00
4.349064765096303797e-01 7.518219233158498493e-01 4.321539470538350969e+00 1.000000000000000000e+00
4.332588821536030865e-01 7.559580215423898908e-01 5.255251427826678423e+00 3.000000000000000000e+00
4.354685993652628873e-01 7.535353077618207607e-01 5.171989333335996086e+00 4.000000000000000000e+00
4.276045782253335426e-01 7.594062772323372235e-01 4.078719997127508989e+00 6.000000000000000000e+00
4.380171485297044698e-01 7.499865385681334651e-01 4.726244324193960011e+00 1.000000000000000000e+00
4.297700360502219041e-01 7.522688270008236477e-01 8.353663746571447390e+00 1.000000000000000000e+00
4.271629861107889004e-01 7.584528345355807666e-01 4.463927135328621176e+00 2.000000000000000000e+00
4.185736869282429828e-01 7.720136286027906580e-01 5.541095568736309041e+00 2.000000000000000000e+00
4.296959685238219140e-01 7.560266974875642365e-01 4.419993522027396260e+00 1.100000000000000000e+01
4.396661841957326122e-01 7.495442259252652617e-01 5.558543565921026719e+00 2.000000000000000000e+00
4.490029543561475101e-01 7.419059295145322697e-01 6.701452301254143151e+00 1.000000000000000000e+00
4.462003323244912445e-01 7.408101013569218241e-01 4.491493272822067340e+00 4.000000000000000000e+00
4.593344401134537014e-01 7.279878338454508491e-01 4.853080721571670253e+00 4.000000000000000000e+00
4.557072754646976920e-01 7.304899252313161728e-01 5.136933606331964164e+00 7.000000000000000000e+00
4.412390960264080952e-01 7.381018899362894459e-01 1.413652951384565526e+01 3.000000000000000000e+00
4.434526904734851782e-01 7.361123200892767393e-01 1.491625215338929067e+01 5.000000000000000000e+00
4.503092289304753137e-01 7.403913171902724022e-01 6.371488949245108557e+00 2.000000000000000000e+00
4.526977267517575121e-01 7.371534151381621269e-01 5.541328286739496178e+00 3.000000000000000000e+00
4.380230564109779401e-01 7.497550722971280113e-01 4.636948812790589791e+00 5.000000000000000000e+00
4.345268484435002576e-01 7.520181015397972013e-01 4.323566719874202491e+00 2.000000000000000000e+00
4.269650196586458057e-01 7.609319907367307900e-01 4.230592253431792571e+00 3.000000000000000000e+00
4.227415113831042293e-01 7.693929103478199805e-01 8.114439023350183078e+00 1.000000000000000000e+00
4.247416168214661614e-01 7.584409391143863699e-01 6.696855301039574826e+00 2.000000000000000000e+00
